"filename", "language", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\r00528311\source\exercise\sample\frontend\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 7
"c:\Users\r00528311\source\exercise\sample\frontend\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 383, 0, 0, 0, 13, 41, 437
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DeviceListPage.tsx", "TypeScript JSX", 372, 0, 0, 0, 1, 21, 394
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DeviceRegisterPage.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 12, 108
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ForgotPasswordPage.tsx", "TypeScript JSX", 86, 0, 0, 0, 0, 5, 91
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 134, 0, 0, 0, 0, 8, 142
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\MfaSetupPage.tsx", "TypeScript JSX", 277, 0, 0, 0, 0, 23, 300
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ReservationListPage.tsx", "TypeScript JSX", 235, 0, 0, 0, 1, 15, 251
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ResetPasswordPage.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 7, 100
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomListPage.tsx", "TypeScript JSX", 153, 0, 0, 0, 1, 11, 165
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomRegisterPage.tsx", "TypeScript JSX", 76, 0, 0, 0, 0, 11, 87
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomReservePage.tsx", "TypeScript JSX", 527, 0, 0, 0, 3, 53, 583
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\UserListPage.tsx", "TypeScript JSX", 129, 0, 0, 0, 1, 9, 139
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\UserRegisterPage.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 11, 93
"c:\Users\r00528311\source\exercise\sample\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\r00528311\source\exercise\sample\frontend\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 4, 1, 6
"c:\Users\r00528311\source\exercise\sample\frontend\src\types.ts", "TypeScript", 0, 92, 0, 0, 0, 13, 105
"c:\Users\r00528311\source\exercise\sample\frontend\src\utils\loanAlerts.ts", "TypeScript", 0, 43, 0, 0, 0, 8, 51
"Total", "-", 6055, 317, 1, 128, 57, 623, 7181
