"filename", "language", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\historyRoutes.ts", "TypeScript", 0, -11, 0, 0, 0, -4, -15
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\loanRoutes.ts", "TypeScript", 0, -10, 0, 0, 0, -4, -14
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\mfaRoutes.ts", "TypeScript", 0, -10, 0, 0, 0, -4, -14
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\reservationRoutes.ts", "TypeScript", 0, -10, 0, 0, 0, -4, -14
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\roomRoutes.ts", "TypeScript", 0, -9, 0, 0, 0, -4, -13
"c:\Users\r00528311\source\exercise\sample\backend\src\routes\userRoutes.ts", "TypeScript", 0, -9, 0, 0, 0, -4, -13
"c:\Users\r00528311\source\exercise\sample\backend\src\services\AuthService.ts", "TypeScript", 0, -82, 0, 0, -1, -15, -98
"c:\Users\r00528311\source\exercise\sample\backend\src\services\CryptoService.ts", "TypeScript", 0, -46, 0, 0, 0, -7, -53
"c:\Users\r00528311\source\exercise\sample\backend\src\services\DeviceService.ts", "TypeScript", 0, -19, 0, 0, 0, -6, -25
"c:\Users\r00528311\source\exercise\sample\backend\src\services\LoanService.ts", "TypeScript", 0, -70, 0, 0, 0, -12, -82
"c:\Users\r00528311\source\exercise\sample\backend\src\services\MfaService.ts", "TypeScript", 0, -29, 0, 0, 0, -7, -36
"c:\Users\r00528311\source\exercise\sample\backend\src\services\PasswordResetService.ts", "TypeScript", 0, -79, 0, 0, -3, -14, -96
"c:\Users\r00528311\source\exercise\sample\backend\src\services\ReservationService.ts", "TypeScript", 0, -231, 0, 0, -3, -27, -261
"c:\Users\r00528311\source\exercise\sample\backend\src\services\RoomService.ts", "TypeScript", 0, -16, 0, 0, 0, -5, -21
"c:\Users\r00528311\source\exercise\sample\backend\src\services\UserService.ts", "TypeScript", 0, -40, 0, 0, 0, -7, -47
"c:\Users\r00528311\source\exercise\sample\backend\src\types.ts", "TypeScript", 0, -105, 0, 0, -6, -11, -122
"c:\Users\r00528311\source\exercise\sample\frontend\src\App.css", "PostCSS", 0, 0, 0, 3, 2, 2, 7
"c:\Users\r00528311\source\exercise\sample\frontend\src\App.tsx", "TypeScript JSX", 91, 0, 0, 0, 0, 3, 94
"c:\Users\r00528311\source\exercise\sample\frontend\src\api.ts", "TypeScript", 0, 124, 0, 0, 0, 10, 134
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ChatPanel.tsx", "TypeScript JSX", 234, 0, 0, 0, 7, 33, 274
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\DayTimeline.tsx", "TypeScript JSX", 99, 0, 0, 0, 3, 13, 115
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\Layout.tsx", "TypeScript JSX", 172, 0, 0, 0, 8, 22, 202
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\NotificationBell.tsx", "TypeScript JSX", 184, 0, 0, 0, 0, 22, 206
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 8, 42
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\RoomReserveDialog.tsx", "TypeScript JSX", 945, 0, 0, 0, 1, 54, 1000
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\SortableHead.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 4, 47
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 171, 0, 0, 0, 0, 15, 186
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\alert.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 8, 77
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\badge.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 5, 53
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\button.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 5, 59
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\card.tsx", "TypeScript JSX", 94, 0, 0, 0, 0, 10, 104
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\checkbox.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 5, 30
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 147, 0, 0, 0, 0, 14, 161
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\input.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\label.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 4, 19
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\popover.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 10, 91
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\radio-group.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 5, 37
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\select.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 13, 200
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\separator.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 4, 24
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\table.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 12, 117
"c:\Users\r00528311\source\exercise\sample\frontend\src\components\ui\textarea.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 4, 19
"c:\Users\r00528311\source\exercise\sample\frontend\src\constants.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\r00528311\source\exercise\sample\frontend\src\contexts\AuthContext.tsx", "TypeScript JSX", 120, 0, 0, 0, 5, 15, 140
"c:\Users\r00528311\source\exercise\sample\frontend\src\contexts\DataContext.tsx", "TypeScript JSX", 211, 0, 0, 0, 5, 29, 245
"c:\Users\r00528311\source\exercise\sample\frontend\src\contexts\DialogContext.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 18, 205
"c:\Users\r00528311\source\exercise\sample\frontend\src\hooks\useSortFilter.ts", "TypeScript", 0, 51, 0, 0, 1, 12, 64
"c:\Users\r00528311\source\exercise\sample\frontend\src\index.css", "PostCSS", 0, 0, 0, 125, 0, 5, 130
"c:\Users\r00528311\source\exercise\sample\frontend\src\index.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\r00528311\source\exercise\sample\frontend\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 2, 7
"c:\Users\r00528311\source\exercise\sample\frontend\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DashboardPage.tsx", "TypeScript JSX", 383, 0, 0, 0, 13, 41, 437
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DeviceListPage.tsx", "TypeScript JSX", 372, 0, 0, 0, 1, 21, 394
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\DeviceRegisterPage.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 12, 108
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ForgotPasswordPage.tsx", "TypeScript JSX", 86, 0, 0, 0, 0, 5, 91
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 134, 0, 0, 0, 0, 8, 142
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\MfaSetupPage.tsx", "TypeScript JSX", 277, 0, 0, 0, 0, 23, 300
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ReservationListPage.tsx", "TypeScript JSX", 235, 0, 0, 0, 1, 15, 251
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\ResetPasswordPage.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 7, 100
